               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,              0.0311,            0.044969,            0.010849,             0.78375,             0.80597,             0.83716,             0.63975,            0.026743,            0.008633,           0.0054772,             0.00307,             0.00307,             0.00307
                  37,            0.031001,            0.045178,            0.010702,             0.77934,             0.80779,             0.83681,             0.64077,            0.026726,           0.0086168,           0.0053761,            0.002872,            0.002872,            0.002872
                  38,            0.030842,            0.044835,            0.010467,             0.78324,             0.80542,             0.83709,             0.64116,            0.026694,           0.0086038,           0.0053138,            0.002674,            0.002674,            0.002674
                  39,            0.030554,             0.04465,            0.010291,              0.7789,             0.81009,             0.83715,             0.64127,            0.026667,           0.0085935,           0.0052173,            0.002476,            0.002476,            0.002476
                  40,            0.030363,            0.044422,            0.010145,             0.78135,             0.80677,             0.83776,             0.64195,            0.026635,           0.0085811,           0.0051488,            0.002278,            0.002278,            0.002278
                  41,            0.030226,            0.044208,           0.0098332,             0.77762,               0.819,             0.83864,             0.64235,            0.026601,           0.0085688,           0.0050569,             0.00208,             0.00208,             0.00208
                  42,            0.030034,            0.044029,            0.009674,             0.77856,             0.81612,             0.83922,             0.64202,            0.026568,           0.0085534,           0.0049632,            0.001882,            0.001882,            0.001882
                  43,            0.029765,            0.043884,           0.0094672,             0.78369,             0.81206,             0.83972,             0.64293,            0.026542,           0.0085397,           0.0048441,            0.001684,            0.001684,            0.001684
                  44,            0.029589,            0.043399,           0.0092214,              0.7857,             0.81098,             0.84019,             0.64391,            0.026516,           0.0085233,           0.0047647,            0.001486,            0.001486,            0.001486
                  45,            0.029522,             0.04328,           0.0090973,             0.78889,             0.81023,             0.84178,             0.64462,            0.026493,           0.0085048,           0.0046961,            0.001288,            0.001288,            0.001288
                  46,            0.029258,            0.042879,             0.00878,             0.78865,             0.81251,             0.84157,             0.64589,            0.026471,            0.008491,           0.0046231,             0.00109,             0.00109,             0.00109
                  47,            0.028978,            0.042637,           0.0086769,             0.78774,             0.81588,             0.84224,             0.64637,             0.02645,           0.0084792,           0.0045253,            0.000892,            0.000892,            0.000892
                  48,            0.028941,            0.042741,           0.0085414,             0.78712,             0.81933,             0.84347,             0.64793,            0.026427,           0.0084672,           0.0044103,            0.000694,            0.000694,            0.000694
                  49,            0.028792,            0.042094,           0.0083863,             0.78789,             0.81977,             0.84359,             0.64811,            0.026405,           0.0084569,           0.0042948,            0.000496,            0.000496,            0.000496
