               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028744,            0.042526,           0.0098566,             0.79718,             0.82887,             0.84953,             0.66285,            0.021931,           0.0083925,           0.0037226,             0.00307,             0.00307,             0.00307
                  37,            0.028655,            0.042309,           0.0095447,             0.79839,              0.8318,             0.84957,             0.66384,            0.021895,           0.0083769,           0.0036448,            0.002872,            0.002872,            0.002872
                  38,            0.028387,            0.042064,           0.0095801,             0.79854,             0.83215,             0.85019,             0.66445,             0.02187,           0.0083576,           0.0035236,            0.002674,            0.002674,            0.002674
                  39,            0.028227,            0.042029,            0.009142,             0.80049,              0.8305,             0.85105,              0.6651,            0.021834,           0.0083327,           0.0034296,            0.002476,            0.002476,            0.002476
                  40,            0.028056,            0.041679,           0.0090679,               0.802,             0.82809,              0.8519,             0.66626,            0.021796,           0.0083076,             0.00334,            0.002278,            0.002278,            0.002278
                  41,            0.027921,            0.041352,           0.0089562,             0.80635,             0.82696,             0.85268,              0.6661,             0.02175,           0.0082828,           0.0032807,             0.00208,             0.00208,             0.00208
                  42,            0.027709,            0.041366,           0.0087498,             0.80147,              0.8324,             0.85436,             0.66791,            0.021698,           0.0082611,           0.0032058,            0.001882,            0.001882,            0.001882
                  43,            0.027379,            0.040722,            0.008428,             0.80268,             0.83324,             0.85503,             0.66902,            0.021657,           0.0082323,           0.0031258,            0.001684,            0.001684,            0.001684
                  44,            0.027163,            0.040451,            0.008342,              0.8046,             0.83354,             0.85616,             0.67038,            0.021623,           0.0082091,           0.0030446,            0.001486,            0.001486,            0.001486
                  45,            0.026858,            0.040088,           0.0080698,             0.80831,             0.83355,             0.85717,             0.67153,            0.021583,           0.0081854,           0.0029495,            0.001288,            0.001288,            0.001288
                  46,            0.026775,            0.039851,           0.0079706,             0.80695,             0.83814,             0.85802,             0.67294,             0.02155,           0.0081644,           0.0028544,             0.00109,             0.00109,             0.00109
                  47,            0.026409,            0.039458,            0.007633,             0.81023,             0.84131,             0.85978,             0.67421,            0.021514,            0.008142,           0.0027739,            0.000892,            0.000892,            0.000892
                  48,            0.026279,            0.039466,           0.0073527,             0.81186,             0.83996,              0.8601,             0.67567,            0.021473,           0.0081171,           0.0026978,            0.000694,            0.000694,            0.000694
                  49,            0.025898,            0.038592,           0.0073495,             0.81257,             0.84114,             0.86102,             0.67658,            0.021436,           0.0080897,           0.0026292,            0.000496,            0.000496,            0.000496
