               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02741,            0.039765,           0.0081042,             0.79463,             0.85459,             0.86761,             0.69465,            0.023079,           0.0078278,           0.0023955,             0.00307,             0.00307,             0.00307
                  37,            0.027015,            0.039274,           0.0078533,             0.80328,             0.84673,              0.8673,             0.69486,            0.023067,           0.0078101,           0.0023778,            0.002872,            0.002872,            0.002872
                  38,            0.026892,            0.039117,           0.0077156,             0.80501,              0.8485,              0.8683,             0.69528,             0.02305,           0.0077988,           0.0023888,            0.002674,            0.002674,            0.002674
                  39,            0.026585,            0.038938,           0.0076006,             0.80394,             0.85253,              0.8685,             0.69631,            0.023037,           0.0077868,           0.0024193,            0.002476,            0.002476,            0.002476
                  40,            0.026385,            0.038347,           0.0073504,             0.80577,             0.85271,             0.86981,             0.69813,            0.023014,           0.0077681,           0.0024261,            0.002278,            0.002278,            0.002278
                  41,            0.026185,            0.038304,           0.0072097,             0.80707,             0.85237,              0.8705,             0.69865,            0.022988,           0.0077544,           0.0024196,             0.00208,             0.00208,             0.00208
                  42,            0.025958,            0.037812,           0.0069655,             0.81019,              0.8505,             0.87084,             0.69962,            0.022969,             0.00774,           0.0024213,            0.001882,            0.001882,            0.001882
                  43,            0.025625,            0.037282,           0.0067176,             0.81303,             0.85041,             0.87158,             0.70081,            0.022936,           0.0077224,           0.0023774,            0.001684,            0.001684,            0.001684
                  44,            0.025331,            0.037097,           0.0066342,             0.81719,             0.84848,             0.87233,             0.70212,             0.02291,             0.00771,           0.0023624,            0.001486,            0.001486,            0.001486
                  45,            0.025177,            0.036684,            0.006349,             0.81762,             0.84824,             0.87265,             0.70253,            0.022892,           0.0076978,           0.0023261,            0.001288,            0.001288,            0.001288
                  46,            0.024952,            0.036556,           0.0062912,             0.81654,              0.8493,             0.87321,             0.70311,            0.022874,           0.0076844,           0.0022757,             0.00109,             0.00109,             0.00109
                  47,            0.024626,            0.036019,           0.0060534,             0.81701,                0.85,             0.87342,             0.70349,            0.022862,           0.0076717,           0.0022341,            0.000892,            0.000892,            0.000892
                  48,            0.024343,            0.035581,           0.0058661,             0.81651,             0.85404,             0.87371,             0.70513,             0.02285,           0.0076598,           0.0021825,            0.000694,            0.000694,            0.000694
                  49,            0.024122,            0.035207,           0.0057788,             0.81875,             0.85179,              0.8738,             0.70651,            0.022845,            0.007648,           0.0021415,            0.000496,            0.000496,            0.000496
