               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027494,            0.040132,           0.0082788,             0.78699,             0.86224,             0.86017,             0.68884,            0.021523,           0.0078632,           0.0027155,             0.00307,             0.00307,             0.00307
                  37,            0.027255,            0.039864,           0.0082091,             0.78944,             0.86276,             0.86074,              0.6893,            0.021497,           0.0078418,           0.0026317,            0.002872,            0.002872,            0.002872
                  38,            0.026898,            0.039338,           0.0078937,             0.79152,             0.86138,             0.86112,             0.68985,            0.021466,           0.0078216,           0.0025715,            0.002674,            0.002674,            0.002674
                  39,            0.026795,            0.039137,           0.0078797,             0.79091,             0.86292,             0.86262,             0.69151,             0.02144,           0.0078038,           0.0025213,            0.002476,            0.002476,            0.002476
                  40,            0.026548,            0.038794,           0.0076199,             0.79344,             0.86151,              0.8626,             0.69188,            0.021418,           0.0077825,           0.0024854,            0.002278,            0.002278,            0.002278
                  41,            0.026309,            0.038514,           0.0073681,             0.79372,             0.86386,             0.86326,             0.69283,            0.021395,           0.0077658,           0.0024209,             0.00208,             0.00208,             0.00208
                  42,            0.026089,            0.038226,           0.0070933,             0.79467,             0.86652,             0.86419,             0.69293,            0.021371,           0.0077493,           0.0023937,            0.001882,            0.001882,            0.001882
                  43,            0.025709,            0.037814,           0.0070669,             0.79659,             0.86593,             0.86478,             0.69347,            0.021349,           0.0077261,           0.0023575,            0.001684,            0.001684,            0.001684
                  44,            0.025514,            0.037556,           0.0068254,             0.80069,              0.8632,             0.86559,             0.69439,            0.021336,           0.0077096,           0.0023058,            0.001486,            0.001486,            0.001486
                  45,            0.025283,            0.036988,           0.0065877,             0.80128,             0.86355,             0.86622,             0.69625,            0.021316,           0.0076922,           0.0022487,            0.001288,            0.001288,            0.001288
                  46,            0.024872,             0.03654,           0.0064092,             0.80481,             0.86087,             0.86703,             0.69676,            0.021301,           0.0076749,           0.0021976,             0.00109,             0.00109,             0.00109
                  47,            0.024635,            0.036347,           0.0062307,             0.80714,             0.86227,             0.86745,             0.69775,            0.021291,           0.0076582,           0.0021476,            0.000892,            0.000892,            0.000892
                  48,            0.024381,            0.035796,           0.0060195,              0.8062,             0.86481,             0.86826,             0.69846,            0.021277,           0.0076426,           0.0021012,            0.000694,            0.000694,            0.000694
                  49,            0.024221,            0.035471,           0.0058618,              0.8091,             0.86339,             0.86836,             0.69917,            0.021261,            0.007628,           0.0020656,            0.000496,            0.000496,            0.000496
